index,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Trend,14 day SMA,upper band,lower band
109,NCC,EQ,90.5,90.95,91.8,88.65,89.5,89.2,90.04,2438588,219575559.5,9957,789267,32.37,Negative,85.33214285714284,91.55895919924295,79.10532651504273
110,NCC,EQ,89.2,89.65,90.6,88.8,90.1,90.0,89.82,2297524,206362772.8,7984,907291,39.49,Slight positive,85.79285714285713,92.39482155248076,79.1908927332335
111,NCC,EQ,90.0,89.2,95.75,89.1,94.55,94.3,93.75,11198605,1049825373.35,44450,2421957,21.63,Among top gainers,86.68571428571428,94.26954613343531,79.10188243799325
112,NCC,EQ,94.3,94.8,94.8,92.7,93.1,93.25,93.9,1292762,121393897.65,6205,453450,35.08,Negative,87.50714285714285,95.27699159766227,79.73729411662343
113,NCC,EQ,93.25,93.3,96.25,93.3,94.6,94.65,95.01,4759874,452239525.1,18641,841954,17.69,Positive,88.34285714285714,96.50806071965489,80.17765356605939
114,NCC,EQ,94.65,95.1,102.35,95.05,101.75,101.5,100.3,26190671,2626849872.2,93903,4328877,16.53,Bull run,89.65357142857142,99.86325493799706,79.4438879191458
115,NCC,EQ,101.5,104.0,109.0,102.0,107.4,107.9,106.32,21982787,2337170721.5,76720,6744061,30.68,Among top gainers,91.46071428571429,104.77618698430116,78.14524158712742
116,NCC,EQ,107.9,108.0,111.7,105.9,109.7,108.9,109.32,10931920,1195080191.1,45459,3649196,33.38,Slight positive,93.32142857142858,108.59073988962058,78.05211725323659
117,NCC,EQ,108.9,109.85,110.4,106.6,107.8,107.35,108.36,4967440,538289499.3,20338,1354859,27.27,Negative,94.85714285714288,111.17800525624871,78.53628045803704
118,NCC,EQ,107.35,108.0,109.9,107.05,108.3,107.7,108.42,4264770,462398141.05,24445,1007687,23.63,Slight or No change,96.42857142857144,113.18215723467975,79.67498562246314
119,NCC,EQ,107.7,108.15,111.65,107.3,109.2,108.85,109.08,5076499,553750242.7,21885,1057660,20.83,Positive,97.85000000000001,115.23518378921003,80.46481621078999
120,NCC,EQ,108.85,109.6,114.0,109.2,112.5,112.5,112.3,9450357,1061317876.15,39907,3181712,33.67,Among top gainers,99.72142857142858,117.38916162376967,82.05369551908748
121,NCC,EQ,112.5,112.8,112.8,109.0,110.0,109.75,110.51,3314970,366346983.4,19631,1148035,34.63,Negative,101.16785714285716,118.54412775020481,83.79158653550951
122,NCC,EQ,109.75,109.8,111.45,108.0,108.7,108.8,109.44,2806545,307143802.6,13095,828507,29.52,Slight negative,102.47500000000001,119.13276557183306,85.81723442816696
123,NCC,EQ,108.8,109.5,111.35,107.15,107.6,107.75,109.16,3610954,394167697.75,16548,1387046,38.41,Slight negative,103.8,118.775210284898,88.824789715102
124,NCC,EQ,107.75,108.3,109.35,102.35,104.15,104.1,104.88,3942844,413539206.65,17060,1352678,34.31,Among top losers,104.80714285714285,117.50825468872014,92.10603102556556
125,NCC,EQ,104.1,104.1,106.35,101.5,104.5,103.85,103.82,4737687,491844202.95,18529,1920765,40.54,Slight or No change,105.48928571428571,116.6976053283679,94.28096610020353
126,NCC,EQ,103.85,104.8,106.0,101.8,102.35,102.45,103.0,4530111,466610090.55,9740,2490816,54.98,Negative,106.14642857142857,115.1195049057238,97.17335223713334
127,NCC,EQ,102.45,102.15,103.9,101.1,103.15,102.95,102.88,2775380,285526092.55,10717,720788,25.97,Slight or No change,106.73928571428571,113.1796844801795,100.29888694839192
128,NCC,EQ,102.95,103.5,105.4,102.0,103.6,103.7,104.31,4816755,502424277.5,18274,1699212,35.28,Slight positive,106.89642857142857,112.87709798156959,100.91575916128755
129,NCC,EQ,103.7,103.95,104.9,95.1,96.0,95.9,99.26,11945113,1185710863.85,43849,2958232,24.77,Bear drop,106.03928571428571,114.37596819146242,97.702603237109
130,NCC,EQ,95.9,95.0,101.45,95.0,100.8,100.3,98.46,7771991,765234146.55,30444,1469391,18.91,Among top gainers,105.42499999999998,114.11360881136409,96.73639118863588
131,NCC,EQ,100.3,101.6,104.25,101.45,102.9,102.75,102.98,6374869,656494241.95,27252,2298996,36.06,Positive,105.09642857142856,113.81929545069467,96.37356169216245
132,NCC,EQ,102.75,103.7,105.7,103.45,104.25,104.3,104.48,4927545,514842804.4,26333,2097797,42.57,Positive,104.85357142857141,113.45262900535171,96.25451385179112
