index,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
71,NCC,EQ,2017-08-23,84.15,84.3,86.6,84.1,86.3,86.2,85.84,1405104,120609900.4,6362,275506,19.61,8,2017,120417412.79999998,2.4361259655377276,Positive
72,NCC,EQ,2017-08-24,86.2,88.0,88.0,84.85,86.3,86.1,86.65,2373052,205613877.45,13099,834512,35.17,8,2017,207325643.0666667,-0.11600928074246841,Slight or No change
74,NCC,EQ,2017-08-28,86.1,86.1,87.05,86.1,86.55,86.5,86.58,1050660,90970928.85,7631,428071,40.74,8,2017,90934623.0,0.4645760743321681,Slight or No change
75,NCC,EQ,2017-08-29,86.5,85.5,86.3,84.1,84.45,84.35,85.25,1897452,161762948.2,10085,707394,37.28,8,2017,162010776.6,-2.485549132947984,Negative
76,NCC,EQ,2017-08-30,84.35,84.85,85.95,84.85,85.0,85.05,85.34,1794393,153141063.45,7321,1031065,57.46,8,2017,153031816.35000002,0.8298755186721962,Slight positive
77,NCC,EQ,2017-08-31,85.05,85.2,85.55,84.0,84.25,84.4,84.7,2716414,230074711.1,9636,1235639,45.49,8,2017,231031010.7,-0.7642563198118624,Slight negative
78,NCC,EQ,2017-09-01,84.4,84.6,87.75,84.55,87.4,87.35,86.65,3241020,280842625.35,11446,1116832,34.46,9,2017,280564298.0,3.4952606635070937,Among top gainers
79,NCC,EQ,2017-09-04,87.35,86.5,87.2,84.2,85.5,85.55,85.68,1503789,128844723.3,8039,590810,39.29,9,2017,129952432.75,-2.060675443617632,Negative
80,NCC,EQ,2017-09-05,85.55,85.5,86.95,85.15,86.5,86.65,86.23,2117591,182607316.8,12284,931299,43.98,9,2017,182889276.03333336,1.2857977790765807,Positive
81,NCC,EQ,2017-09-06,86.65,86.4,87.75,85.75,86.2,86.15,86.86,2659504,230994773.8,13692,895112,33.66,9,2017,230756297.06666666,-0.5770340450086509,Slight negative
82,NCC,EQ,2017-09-07,86.15,86.5,87.25,85.2,85.45,85.5,85.97,2081441,178939597.1,6571,1149270,55.22,9,2017,179871193.08333334,-0.7544979686593178,Slight negative
83,NCC,EQ,2017-09-08,85.5,85.6,87.1,85.1,85.4,85.55,86.05,1936759,166649446.55,8520,708085,36.56,9,2017,166722670.5833333,0.05847953216373547,Slight or No change
84,NCC,EQ,2017-09-11,85.55,86.9,86.9,85.15,85.4,85.55,85.85,1746039,149893321.8,13269,1010946,57.9,9,2017,150945071.55,0.0,Slight or No change
85,NCC,EQ,2017-09-12,85.55,86.8,91.8,86.45,90.35,90.15,90.48,16330189,1477580016.6,52606,3820351,23.39,9,2017,1462912764.5833333,5.37697253068381,Among top gainers
86,NCC,EQ,2017-09-13,90.15,90.35,91.2,88.2,88.9,88.8,89.85,3498841,314361581.35,16162,644183,18.41,9,2017,315303888.1166667,-1.4975041597337868,Negative
87,NCC,EQ,2017-09-14,88.8,89.8,93.2,89.6,90.9,91.15,91.57,9432101,863685529.45,36498,2891685,30.66,9,2017,861936829.7166666,2.646396396396411,Positive
88,NCC,EQ,2017-09-15,91.15,90.35,91.25,90.05,90.8,90.5,90.68,4515221,409458484.8,27201,2539729,56.25,9,2017,409530544.7,-0.7131102578167958,Slight negative
89,NCC,EQ,2017-09-18,90.5,91.6,92.0,90.35,90.8,90.7,90.91,3002822,272975603.3,16583,1534464,51.1,9,2017,274558024.8666667,0.22099447513812542,Slight or No change
90,NCC,EQ,2017-09-19,90.7,91.1,91.4,89.1,89.85,89.85,90.04,1844497,166072004.55,7643,536989,29.11,9,2017,167449585.98333335,-0.9371554575523744,Slight negative
91,NCC,EQ,2017-09-20,89.85,90.4,90.6,87.7,88.3,88.5,88.64,3239706,287176766.85,10103,1584517,48.91,9,2017,291033589.0,-1.5025041736226985,Negative
92,NCC,EQ,2017-09-21,88.5,88.25,90.1,86.65,88.55,88.7,88.59,3304138,292729866.85,11938,1042926,31.56,9,2017,294123350.96666664,0.225988700564983,Slight or No change
